index,station,parm
10,ADO2,-0.43038718776587676
20853,ADOA,0.43355079318109024
106459,AGSA,0.33160967053455515
5282,AJD,-0.33236154271761764
21903,AMD,-0.41659225473290334
80610,ANMA,0.42641259172057877
143069,ASNA,0.39970978468084417
80972,BAR2,-0.2771198401745296
23513,BAU,-0.45604266383706277
8295,BBK,-0.3914532729071552
556,BGD,-0.2646041152645266
24829,BGDB,-0.32161058553340305
143145,BKWA,0.3394810712400693
106158,BLGA,0.37033859786489803
111026,BLLA,-0.12746042395624246
103077,BOG,0.3391418316257173
143716,BOGA,0.3938216507447701
53,BON,0.7884598204629755
111270,BON2,-0.24070365019561843
3621,BOSB,0.0070313794861022755
53979,BRN,0.6099699505633006
25043,BRS,0.541219244130148
165,BSA,0.4963932385579279
143246,BSAA,0.3989237645860089
24941,BURB,0.021948715052558538
47,BUS2,-0.1797771737468719
172836,BUS3,-0.13878767860091573
105949,BUSA,0.15095763922701116
20859,BUYB,-0.05829096027981016
8,CEA,0.9707441554012096
105922,CEA2,-0.052892069556174905
25507,CEJA,0.027297221297520033
143164,CGAA,-0.011907126442579637
17,CGD,-0.2319507100560396
106803,CGDA,0.29394869404237295
107690,CGIA,0.328712515869166
144041,CGPA,0.2400368166646939
103079,CGU,0.4499067110938397
111321,CGUB,0.06316746549833042
106197,CGWB,-0.11403777716331069
107645,CGYA,0.38838432093475544
3593,CHC2,-0.11702201903156546
143864,CHDA,0.2657927645687968
2,CHJ2,-0.1637833965346826
173579,CHJ3,-0.08655533290114824
34,CHNB,-0.4755009029075538
178,CHO,-0.1681496182001291
143267,CHOA,0.2547866055605144
46,CHR,-0.27048414376640934
143197,CHRB,0.009460235690693883
15,CHS,-0.10395799952111112
20756,CHYB,0.0838283634329943
24841,CIGB,0.06483003357999031
21930,CJD,-0.18996914440233664
112195,CJDB,0.15294455125018694
143357,CLSA,0.277414262140316
24713,CPR2,-0.10449765853657514
175491,CRB,-0.1871439356165023
81514,CSDB,-0.043689713255632014
12380,CSO,-0.6542246702613764
136357,CSOA,0.2930453008394695
24977,CWO2,-0.04573012781123227
65,DACB,-0.009314046990173375
16,DAG2,-0.18964876059338745
143193,DAGA,0.20531595750839135
11,DAU,-0.44579353430783464
23637,DDCA,0.3449134825155011
56,DEI,-0.07724997525760396
143037,DEI2,-0.4827327404598256
140408,DES,-0.4071396992728833
106532,DGHA,0.3154956669597226
143059,DGJA,0.4565198720735367
106418,DGLA,0.2190753358502015
20,DGY2,-0.20781024715515004
8287,DKJ,-0.2692720650918899
105925,DKSA,0.35497359952057866
107546,DNBA,0.35150876364774325
143126,DNYA,0.2627488979255595
103075,DUC,0.4559107689698547
24818,DUSB,-0.013411465668258214
21892,ECDB,0.02399434689079115
9177,EMSB,-0.06540244738334583
3725,EURB,0.13332931628964534
20746,EUSB,0.04912131680076585
106654,GACA,0.26141013890729653
143100,GAGA,0.36267548064657146
57,GAHB,0.33708087497262945
20778,GAPB,-0.05774600697962477
70,GBI,0.06546492051196405
143527,GBI2,-0.36787953088099845
103078,GCN,0.4287408047573434
80411,GDDB,0.003911925408271411
112149,GEJB,0.05799353393433754
106623,GGDA,0.27487404717337593
21983,GGDB,-0.06858842323234936
106642,GGGA,0.4671083049819144
143103,GGSA,0.3627452566334225
143538,GGTA,0.3646502345428643
143032,GH2B,0.08461861849963906
219886,GHR,-0.28964455536420486
4,GIC,-0.557558949001401
143204,GICA,0.34127045391837724
136387,GIGA,0.29782137250162466
102,GKP1,-0.2653391064319667
138859,GKP2,0.010563798352356159
143273,GKSA,0.14913326147612915
143140,GLCA,0.32046615352642854
143543,GLSA,0.3811089732649136
21813,GMDB,-0.08495968211546305
112836,GMHB,0.12785961977550733
106872,GMNA,0.3698726685912189
113192,GMPB,0.09045529811724252
3477,GOCB,-0.07016191496734565
113187,GODA,0.39144956407353726
21977,GOS2,-0.34419261794218375
168,GRE,-0.1374278425493105
59,GSG,-0.21387760260335412
143038,GSGA,0.42516252825037737
106399,GSNA,0.17745174181295592
160,GSU,-0.030577305136041816
144049,GUJA,0.3005987172627561
3,GUM,-0.12991730527598208
143155,GUMA,0.2587517840448462
66,GUS,-0.24029960591404192
80460,GUWB,0.11482100964452693
177,GWJ,-0.43240058253841185
86,GWL,-0.08317903510633272
143111,GWLA,0.39134325163249695
3931,GWYB,-0.3512909326382799
224462,HA2B,-0.3076539518112964
20846,HACA,0.40333129613584784
54,HAD,-0.7790154939845324
122112,HADA,0.09848001610371394
111406,HAIA,0.29789383071037495
8384,HAK,-0.22419649862213126
5709,HALB,-0.09352098711995556
3485,HAMB,-0.12786325743975635
21812,HANB,-0.30653514914611185
107710,HAWA,0.30894593826421424
3582,HAWB,0.06319667967239831
138694,HCH,-0.6755044036308018
23519,HCNA,0.3571138808542302
39,HDB,-0.3299251389638327
143842,HEDA,0.09642030824200937
31,HES,-0.2357841711073166
143153,HESA,0.3778558944883436
113028,HGDB,0.08775486900707832
143787,HGSA,0.46452424592346314
81,HKU,-0.24804514178000373
106268,HMGA,0.2803035316065603
106552,HMPA,0.2356613762104447
80676,HOCA,0.3281549557940229
143259,HONA,0.3720754367778574
58,HSB,0.16472175381842566
143863,HTDA,0.33118909708059013
256,HUK2,-0.41193827452278686
20775,HWCA,0.18425523176538788
598,HWCB,-0.4755855135016196
143054,HWDB,0.12487940652559043
143696,HWSA,0.43559705064692983
176,HWSB,0.032840273861170784
178110,IBA,-0.3191001313308575
80548,ICN2,-0.10976273127276623
82806,IJA2,-0.32798512108747685
20801,IJAA,0.2616668981120821
